id_caso,direccion_gt,estado_externo,clasificacion,coordenadas,original_conservado,requiere_revision
REAL-001,SANTA ISABEL 585,CONTRADICCION_REGION,ACIERTO_ABSTENCION,RECHAZADAS_PENDIENTE_CONFIRMACION,True,True
REAL-002,LAS VIOLETAS 55 SECTOR LAS ESPERANZA,REVISAR,ACIERTO_ABSTENCION,NO_PROPUESTAS,True,True
REAL-003,"CALLE INTERIOR 700, FUNDO LA MONTAÑA",REVISAR,ACIERTO_ABSTENCION,NO_PROPUESTAS,True,True
REAL-004,VISTA CLARA 2351,CONTRADICCION_REGION,ACIERTO_ABSTENCION,RECHAZADAS_PENDIENTE_CONFIRMACION,True,True
REAL-005,GALVARINO 8501,REVISAR,ACIERTO_ABSTENCION,NO_PROPUESTAS,True,True
REAL-006,CAMINO LO RUIZ 2901,CONTRADICCION_REGION,ACIERTO_ABSTENCION,RECHAZADAS_PENDIENTE_CONFIRMACION,True,True
REAL-007,PANAMERICANA NORTE 22650,REVISAR,ACIERTO_ABSTENCION,NO_PROPUESTAS,True,True
REAL-008,AV CORDILLERA 482,REVISAR,ACIERTO_ABSTENCION,NO_PROPUESTAS,True,True
REAL-009,CAMINO LOS PINOS 3394,REVISAR,ACIERTO_ABSTENCION,NO_PROPUESTAS,True,True
REAL-010,RUTA 5 KM 40 S/N,REVISAR,ACIERTO_ABSTENCION,NO_PROPUESTAS,True,True
REAL-011,LA UNION 3070,CONTRADICCION_REGION,FALSO_NEGATIVO,RECHAZADAS_PENDIENTE_CONFIRMACION,True,True
REAL-012,LAUTARO 9202,REVISAR,ACIERTO_ABSTENCION,NO_PROPUESTAS,True,True
