id_caso,estado_antes,estado_despues,clasificacion_antes,clasificacion_despues,tipo_coincidencia_despues,calle_coincide,numero_coincide,comuna_coincide,region_coincide,coordenadas_despues,requiere_revision_despues
REAL-001,CONTRADICCION_REGION,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,ACIERTO_ABSTENCION,COINCIDENCIA_PARCIAL_SIN_NUMERO,True,False,True,True,RECHAZADAS_PENDIENTE_CONFIRMACION,True
REAL-002,REVISAR,REVISAR,ACIERTO_ABSTENCION,ACIERTO_ABSTENCION,AMBIGUA,False,False,False,False,NO_PROPUESTAS,True
REAL-003,REVISAR,REVISAR,ACIERTO_ABSTENCION,ACIERTO_ABSTENCION,AMBIGUA,False,False,False,False,NO_PROPUESTAS,True
REAL-004,CONTRADICCION_REGION,CONTRADICCION_COMUNA,ACIERTO_ABSTENCION,ACIERTO_CONTRADICCION,CONTRADICCION_COMUNA,True,False,False,True,RECHAZADAS_PENDIENTE_CONFIRMACION,True
REAL-005,REVISAR,REVISAR,ACIERTO_ABSTENCION,ACIERTO_ABSTENCION,AMBIGUA,False,False,False,False,NO_PROPUESTAS,True
REAL-006,CONTRADICCION_REGION,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,ACIERTO_ABSTENCION,COINCIDENCIA_PARCIAL_SIN_NUMERO,True,False,True,True,RECHAZADAS_PENDIENTE_CONFIRMACION,True
REAL-007,REVISAR,REVISAR,ACIERTO_ABSTENCION,ACIERTO_ABSTENCION,AMBIGUA,False,False,False,False,NO_PROPUESTAS,True
REAL-008,REVISAR,REVISAR,ACIERTO_ABSTENCION,ACIERTO_ABSTENCION,AMBIGUA,False,False,False,False,NO_PROPUESTAS,True
REAL-009,REVISAR,REVISAR,ACIERTO_ABSTENCION,ACIERTO_ABSTENCION,AMBIGUA,False,False,False,False,NO_PROPUESTAS,True
REAL-010,REVISAR,REVISAR,ACIERTO_ABSTENCION,ACIERTO_ABSTENCION,AMBIGUA,False,False,False,False,NO_PROPUESTAS,True
REAL-011,CONTRADICCION_REGION,VERIFICADA,FALSO_NEGATIVO,ACIERTO_CONFIRMACION,COINCIDENCIA_NORMALIZADA,True,True,True,True,ACEPTADAS_EVIDENCIA_SUFFICIENTE,False
REAL-012,REVISAR,REVISAR,ACIERTO_ABSTENCION,ACIERTO_ABSTENCION,AMBIGUA,False,False,False,False,NO_PROPUESTAS,True
