id_caso,identificador_interno,direccion_confirmada,comuna_confirmada,region_confirmada,pais,estado_confirmacion,latitud_aprobada,longitud_aprobada,fuente_humana_documental,resultado_esperado,debe_confirmar,debe_revisar,observaciones
REAL-001,51b4cd04-0c4c-41f1-9fd2-3da535148c24,SANTA ISABEL 585,LAMPA,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,,,CONFIRMACION_JAVIER_2026-07-27,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,Bodega compartida con entregas habituales.
REAL-002,7ca60aef-ae2e-4149-b2e5-408ff5e6da95,LAS VIOLETAS 55 SECTOR LAS ESPERANZA,PADRE HURTADO,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,-33.5563125,-70.8608125,PLUS_CODE_Y_CONFIRMACION_JAVIER_2026-07-27,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,Único caso con coordenadas humanas aprobadas.
REAL-003,aefa98d8-62b5-4538-b8d2-4e16f6ac5b15,"CALLE INTERIOR 700, FUNDO LA MONTAÑA",LAMPA,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,,,CONFIRMACION_JAVIER_2026-07-27,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,Dirección principal distinguida de Santa Isabel 585.
REAL-004,34b754bc-4d2f-4f3f-85e5-98d907106262,VISTA CLARA 2351,CERRILLOS,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,,,EXCEL_38_REGISTROS_Y_CONFIRMACION_JAVIER_2026-07-28,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,2401 es incorrecto; cualquier numeración distinta exige REVISAR.
REAL-005,32d67fec-2b5d-4daf-8205-b78719bc4ab7,GALVARINO 8501,QUILICURA,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,,,EXCEL_HISTORICO_34_REGISTROS,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,
REAL-006,7df58eec-eff3-4a6a-bdfa-34509ee8d2a2,CAMINO LO RUIZ 2901,RENCA,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,,,EXCEL_HISTORICO_20_REGISTROS,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,
REAL-007,73b2f2a2-12a4-4a56-b9a4-3932adf8025c,PANAMERICANA NORTE 22650,LAMPA,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,,,EXCEL_HISTORICO_23_REGISTROS,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,
REAL-008,b1332634-4904-4a1e-a0c2-f73e44beec6e,AV CORDILLERA 482,QUILICURA,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,,,EXCEL_HISTORICO_4_REGISTROS,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,
REAL-009,c64c55e3-2fd2-445f-ab0f-6546531034f3,CAMINO LOS PINOS 3394,SAN BERNARDO,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,,,EXCEL_HISTORICO_2_REGISTROS,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,3396 existe como destino separado y no sustituye 3394.
REAL-010,f2cef3d4-c1a5-48e8-8713-067222aaada6,RUTA 5 KM 40 S/N,PAINE,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,,,EXCEL_HISTORICO_1_REGISTRO,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,
REAL-011,aa4e2bcb-c580-4e90-85ca-bd475514caed,LA UNION 3070,RENCA,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,,,EXCEL_HISTORICO_MOVIMIENTO_INTERNO_AZA,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,
REAL-012,09011c4c-15c6-425a-a825-ede7313b9e78,LAUTARO 9202,QUILICURA,REGIÓN METROPOLITANA,CHILE,CONFIRMADO_DOCUMENTAL,,,EXCEL_HISTORICO_3_REGISTROS,CONSERVAR_ORIGINAL_Y_EVALUAR_EVIDENCIA,False,True,
