id_caso,destino_id,direccion_gt,consulta_minimizada,estado_externo,tipo_coincidencia,direccion_devuelta,comuna_devuelta,region_devuelta,latitud,longitud,coordenadas,clasificacion,valor_original_conservado,valor_propuesto,estado_motor,confianza_motor,requiere_revision,region_compatible_humana,calle_coincide,numero_coincide,comuna_coincide,region_coincide,explicacion_geografica,trazabilidad,identificador_consulta,desde_cache,duracion_ms,error
REAL-001,51b4cd04-0c4c-41f1-9fd2-3da535148c24,SANTA ISABEL 585,"SANTA ISABEL 585, LAMPA, REGIÓN METROPOLITANA, CHILE",COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL_SIN_NUMERO,"Santa Isabel, Lampa, RM, Chile",Lampa,Metropolitana,-33.310665,-70.737609,RECHAZADAS_PENDIENTE_CONFIRMACION,ACIERTO_ABSTENCION,True,SANTA ISABEL 585,REVISAR,BAJA,True,True,True,False,True,True,"[""Calle equivalente: sí."", ""Número equivalente: no."", ""Comuna equivalente: sí."", ""Región equivalente: sí."", ""Se conserva el original y se requiere revisión.""]",True,3397915bb3909db93d0463d67c2d612c1e3574462b5349bc598f83793e2f9e50,True,0.448,
REAL-002,7ca60aef-ae2e-4149-b2e5-408ff5e6da95,LAS VIOLETAS 55 SECTOR LAS ESPERANZA,"LAS VIOLETAS 55 SECTOR LAS ESPERANZA, PADRE HURTADO, REGIÓN METROPOLITANA, CHILE",REVISAR,AMBIGUA,,,,,,NO_PROPUESTAS,ACIERTO_ABSTENCION,True,LAS VIOLETAS 55 SECTOR LAS ESPERANZA,REVISAR,BAJA,True,False,False,False,False,False,[],True,7d97f071c4cafd2ac2e218f5f5a2128a11430221bc37bb911c8ab88246abc4e9,True,0.098,MULTIPLES_RESULTADOS
REAL-003,aefa98d8-62b5-4538-b8d2-4e16f6ac5b15,"CALLE INTERIOR 700, FUNDO LA MONTAÑA","CALLE INTERIOR 700, FUNDO LA MONTAÑA, LAMPA, REGIÓN METROPOLITANA, CHILE",REVISAR,AMBIGUA,,,,,,NO_PROPUESTAS,ACIERTO_ABSTENCION,True,"CALLE INTERIOR 700, FUNDO LA MONTAÑA",REVISAR,BAJA,True,False,False,False,False,False,[],True,f41509a83e54c1a3ec4348923524c36b6a2e235f776030df63c8c6e2d6e733ee,True,0.11,MULTIPLES_RESULTADOS
REAL-004,34b754bc-4d2f-4f3f-85e5-98d907106262,VISTA CLARA 2351,"VISTA CLARA 2351, CERRILLOS, REGIÓN METROPOLITANA, CHILE",CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,"Vista Clara, Santiago, RM, Chile",Santiago,Metropolitana,-33.523918,-70.715483,RECHAZADAS_PENDIENTE_CONFIRMACION,ACIERTO_CONTRADICCION,True,VISTA CLARA 2351,REVISAR,BAJA,True,True,True,False,False,True,"[""Calle equivalente: sí."", ""Número equivalente: no."", ""Comuna equivalente: no."", ""Región equivalente: sí."", ""Se conserva el original y se requiere revisión.""]",True,473e66b15dd4277361e7874abe475d5d5d051c8c82da0c661b23734b5ca24936,True,0.205,
REAL-005,32d67fec-2b5d-4daf-8205-b78719bc4ab7,GALVARINO 8501,"GALVARINO 8501, QUILICURA, REGIÓN METROPOLITANA, CHILE",REVISAR,AMBIGUA,,,,,,NO_PROPUESTAS,ACIERTO_ABSTENCION,True,GALVARINO 8501,REVISAR,BAJA,True,False,False,False,False,False,[],True,26326ff775ecd2ec741e7b262b803b6c3b377c3144d21adc17187ea8540234e2,True,0.102,MULTIPLES_RESULTADOS
REAL-006,7df58eec-eff3-4a6a-bdfa-34509ee8d2a2,CAMINO LO RUIZ 2901,"CAMINO LO RUIZ 2901, RENCA, REGIÓN METROPOLITANA, CHILE",COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL_SIN_NUMERO,"Camino Lo Ruiz, Renca, RM, Chile",Renca,Metropolitana,-33.402531,-70.686461,RECHAZADAS_PENDIENTE_CONFIRMACION,ACIERTO_ABSTENCION,True,CAMINO LO RUIZ 2901,REVISAR,BAJA,True,True,True,False,True,True,"[""Calle equivalente: sí."", ""Número equivalente: no."", ""Comuna equivalente: sí."", ""Región equivalente: sí."", ""Se conserva el original y se requiere revisión.""]",True,c48b50ba5b3eab8d2db14b68649ec17939ab025b615ebd5d97ea987b3404cf38,True,0.191,
REAL-007,73b2f2a2-12a4-4a56-b9a4-3932adf8025c,PANAMERICANA NORTE 22650,"PANAMERICANA NORTE 22650, LAMPA, REGIÓN METROPOLITANA, CHILE",REVISAR,AMBIGUA,,,,,,NO_PROPUESTAS,ACIERTO_ABSTENCION,True,PANAMERICANA NORTE 22650,REVISAR,BAJA,True,False,False,False,False,False,[],True,2494a8ef7c94fa94e8f90b7a0cd6b54282fbb8ca03e1c777693bc6dbd10f5517,True,0.105,MULTIPLES_RESULTADOS
REAL-008,b1332634-4904-4a1e-a0c2-f73e44beec6e,AV CORDILLERA 482,"AV CORDILLERA 482, QUILICURA, REGIÓN METROPOLITANA, CHILE",REVISAR,AMBIGUA,,,,,,NO_PROPUESTAS,ACIERTO_ABSTENCION,True,AV CORDILLERA 482,REVISAR,BAJA,True,False,False,False,False,False,[],True,0f2d78dca0b16494dfe8f7423cdf1bf70b58af056ce166ae72c10a3647b82ee6,True,0.093,MULTIPLES_RESULTADOS
REAL-009,c64c55e3-2fd2-445f-ab0f-6546531034f3,CAMINO LOS PINOS 3394,"CAMINO LOS PINOS 3394, SAN BERNARDO, REGIÓN METROPOLITANA, CHILE",REVISAR,AMBIGUA,,,,,,NO_PROPUESTAS,ACIERTO_ABSTENCION,True,CAMINO LOS PINOS 3394,REVISAR,BAJA,True,False,False,False,False,False,[],True,6b2694a56f82c33cf5b989f2b301c936108fd42cd629f7143b26ad9639c6489e,True,0.093,MULTIPLES_RESULTADOS
REAL-010,f2cef3d4-c1a5-48e8-8713-067222aaada6,RUTA 5 KM 40 S/N,"RUTA 5 KM 40 S/N, PAINE, REGIÓN METROPOLITANA, CHILE",REVISAR,AMBIGUA,,,,,,NO_PROPUESTAS,ACIERTO_ABSTENCION,True,RUTA 5 KM 40 S/N,REVISAR,BAJA,True,False,False,False,False,False,[],True,02bd45c4a4c25d9c0b4ab511ebca4ed2b629070738e32dc6f92159ce15c7c094,True,0.09,MULTIPLES_RESULTADOS
