id_caso,clase_gt,resultado_esperado,estado_predicho,clasificacion,gravedad,valor_original_conservado,trazabilidad_completa
DEST-001,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-002,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-003,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-004,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-005,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-006,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-007,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-008,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-009,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-010,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-011,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-012,VERIFICABLE_EXACTA,VERIFICADA,VERIFICADA,ACIERTO_CONFIRMACION,NINGUNA,True,True
DEST-013,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-014,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-015,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-016,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
