id_caso,direccion_entrada,comuna_esperada,region_esperada,clase_gt,resultado_esperado,requiere_revision_esperado,coordenadas_aceptables,motivo_gt
DEST-001,Calle Sintética 001,COMUNA SINTETICA 2,REGION SINTETICA 2,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-002,"Pasaje Ñandú Sintético Nº 002, Torre Á",COMUNA SINTETICA 3,REGION SINTETICA 3,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-003,Calle Sintética 003,COMUNA SINTETICA 4,REGION SINTETICA 1,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-004,Calle Sintética 004,COMUNA SINTETICA 5,REGION SINTETICA 2,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-005,Calle Sintética 005,COMUNA SINTETICA 1,REGION SINTETICA 3,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-006,Calle Sintética 006,COMUNA SINTETICA 2,REGION SINTETICA 1,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-007,"Pasaje Ñandú Sintético Nº 007, Torre Á",COMUNA SINTETICA 3,REGION SINTETICA 2,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-008,Calle Sintética 008,COMUNA SINTETICA 4,REGION SINTETICA 3,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-009,Calle Sintética 009,COMUNA SINTETICA 5,REGION SINTETICA 1,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-010,Calle Sintética 010,COMUNA SINTETICA 1,REGION SINTETICA 2,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-011,Calle Sintética 011,COMUNA SINTETICA 2,REGION SINTETICA 3,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-012,Calle Sintética 012,COMUNA SINTETICA 3,REGION SINTETICA 1,VERIFICABLE_EXACTA,VERIFICADA,False,True,"Dirección, comuna y región coinciden."
DEST-013,Calle Sintética 013,COMUNA SINTETICA 4,REGION SINTETICA 2,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,True,False,"La geografía coincide, pero la dirección es aproximada."
