id_caso,estado_predicho,valor_propuesto,comuna_predicha,region_predicha,acepta_coordenadas,requiere_revision,confianza,contradicciones,explicacion,evidencias_utilizadas,valor_original_conservado
DEST-001,VERIFICADA,Calle Sintética 001,COMUNA SINTETICA 2,REGION SINTETICA 2,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 001."", ""Valor con mayor apoyo: CALLE SINTETICA 001."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-002,VERIFICADA,"Pasaje Ñandú Sintético Nº 002, Torre Á",COMUNA SINTETICA 3,REGION SINTETICA 3,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Pasaje Ñandú Sintético Nº 002, Torre Á."", ""Valor con mayor apoyo: PASAJE NANDU SINTETICO No 002, TORRE A."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-003,VERIFICADA,Calle Sintética 003,COMUNA SINTETICA 4,REGION SINTETICA 1,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 003."", ""Valor con mayor apoyo: CALLE SINTETICA 003."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-004,VERIFICADA,Calle Sintética 004,COMUNA SINTETICA 5,REGION SINTETICA 2,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 004."", ""Valor con mayor apoyo: CALLE SINTETICA 004."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-005,VERIFICADA,Calle Sintética 005,COMUNA SINTETICA 1,REGION SINTETICA 3,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 005."", ""Valor con mayor apoyo: CALLE SINTETICA 005."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-006,VERIFICADA,Calle Sintética 006,COMUNA SINTETICA 2,REGION SINTETICA 1,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 006."", ""Valor con mayor apoyo: CALLE SINTETICA 006."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-007,VERIFICADA,"Pasaje Ñandú Sintético Nº 007, Torre Á",COMUNA SINTETICA 3,REGION SINTETICA 2,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Pasaje Ñandú Sintético Nº 007, Torre Á."", ""Valor con mayor apoyo: PASAJE NANDU SINTETICO No 007, TORRE A."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-008,VERIFICADA,Calle Sintética 008,COMUNA SINTETICA 4,REGION SINTETICA 3,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 008."", ""Valor con mayor apoyo: CALLE SINTETICA 008."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-009,VERIFICADA,Calle Sintética 009,COMUNA SINTETICA 5,REGION SINTETICA 1,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 009."", ""Valor con mayor apoyo: CALLE SINTETICA 009."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-010,VERIFICADA,Calle Sintética 010,COMUNA SINTETICA 1,REGION SINTETICA 2,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 010."", ""Valor con mayor apoyo: CALLE SINTETICA 010."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-011,VERIFICADA,Calle Sintética 011,COMUNA SINTETICA 2,REGION SINTETICA 3,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 011."", ""Valor con mayor apoyo: CALLE SINTETICA 011."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-012,VERIFICADA,Calle Sintética 012,COMUNA SINTETICA 3,REGION SINTETICA 1,True,False,ALTA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 012."", ""Valor con mayor apoyo: CALLE SINTETICA 012."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO.""]","{""estado_externo"": ""VERIFICADA"", ""externa"": true, ""internas"": 2}",True
DEST-013,COINCIDENCIA_PARCIAL,Calle Sintética 013,COMUNA SINTETICA 4,REGION SINTETICA 2,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 013."", ""Valor con mayor apoyo: CALLE SINTETICA 013."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
DEST-014,COINCIDENCIA_PARCIAL,"Pasaje Ñandú Sintético Nº 014, Torre Á",COMUNA SINTETICA 5,REGION SINTETICA 3,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Pasaje Ñandú Sintético Nº 014, Torre Á."", ""Valor con mayor apoyo: PASAJE NANDU SINTETICO No 014, TORRE A."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
DEST-015,COINCIDENCIA_PARCIAL,Calle Sintética 015,COMUNA SINTETICA 1,REGION SINTETICA 1,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 015."", ""Valor con mayor apoyo: CALLE SINTETICA 015."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
DEST-016,COINCIDENCIA_PARCIAL,Calle Sintética 016,COMUNA SINTETICA 2,REGION SINTETICA 2,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 016."", ""Valor con mayor apoyo: CALLE SINTETICA 016."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
